OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasureValue.Original,TADA.ResultMeasureValue.Flag,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionLimitMeasureValue.Original,TADA.DetectionLimitMeasureValue.Flag,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,MethodSpecificationName,ProjectName,ProjectDescriptionText,SamplingDesignTypeCode,QAPPApprovedIndicator,QAPPApprovalAgencyName,ProjectFileUrl,ProjectMonitoringLocationWeightingUrl
USGS-UT,USGS Utah Water Science Center,nwisut.01.02100703,Sample-Routine,WATER,Surface Water,3/18/2021,14:15:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey,USGS-09234500,NA,NA,"Stable, low stage",Regulated flow,10,USGS parameter code 82398,Equal width increment (ewi),US DH-95 plastic bottle,NA,NITRATE,DISSOLVED,0.156,0.156,Numeric,MG/L ASNO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,3/18/2021 20:15,NA,"GREEN RIVER NEAR GREENDALE, UT",Stream,NA,14040106,19400,sq mi,15100,sq mi,40.90829296,-109.422914,24000,1,seconds,Interpolated from MAP.,NAD83,5594.21,feet,0.12,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02101243,Sample-Routine,WATER,Surface Water,7/6/2021,12:50:00,MDT,NA,NA,NA,2,meters,NA,NA,NA,NA,NA,NA,"Utah Division of Wildlife Resources, Salt Lake City",USGS-411116112244401,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.08,0.08,Numeric,MG/L AS N,NA,NWIS,7/6/2021 18:50,NA,"GSL 2267, 1 MI NW OF FREMONT ISLAND","Lake, Reservoir, Impoundment",NA,16020310,NA,NA,NA,NA,41.1877149,-112.4130094,NA,1,seconds,Interpolated from MAP.,NAD83,4200,feet,10,feet,Altimeter.,NGVD29,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02101086,Sample-Routine,WATER,Surface Water,6/2/2021,10:30:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-10141000,NA,NA,"Stable, low stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,US DH-81,NA,NITRATE,DISSOLVED,0.686,0.686,Numeric,MG/L ASNO3,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,6/2/2021 16:30,NA,"WEBER RIVER NEAR PLAIN CITY, UT",Stream,NA,16020102,2081,sq mi,NA,NA,41.2782765,-112.0918866,NA,5,seconds,Interpolated from MAP.,NAD83,4200.22,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,49,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02101254,Sample-Routine,WATER,Surface Water,7/8/2021,10:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10171000,NA,NA,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81 with Teflon cap and nozzle,NA,NITRATE,DISSOLVED,4.93,4.93,Numeric,MG/L AS N,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,7/8/2021 16:00,NA,"JORDAN RIVER @ 1700 SOUTH @ SALT LAKE CITY, UT",Stream,NA,16020204,3438,sq mi,3183,sq mi,40.73355737,-111.9232703,NA,5,seconds,Interpolated from MAP.,NAD83,4222.64,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200112,Sample-Routine,WATER,Surface Water,11/1/2021,10:48:00,MDT,NA,NA,NA,6.5,meters,NA,NA,NA,NA,NA,NA,"Utah Division of Wildlife Resources, Salt Lake City",USGS-405356112205601,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.08,0.08,Numeric,MG/L AS N,NA,NWIS,11/1/2021 16:48,NA,"GSL 3510, 6 MI WEST OF ANTELOPE ISLAND","Lake, Reservoir, Impoundment",NA,16020310,NA,NA,NA,NA,40.89882998,-112.3496756,NA,1,seconds,Interpolated from MAP.,NAD83,4200,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200859,Sample-Routine,WATER,Surface Water,4/14/2022,10:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10171000,NA,NA,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81 with Teflon cap and nozzle,NA,NITRATE,DISSOLVED,21.2,21.2,Numeric,MG/L ASNO3,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,4/14/2022 16:00,NA,"JORDAN RIVER @ 1700 SOUTH @ SALT LAKE CITY, UT",Stream,NA,16020204,3438,sq mi,3183,sq mi,40.73355737,-111.9232703,NA,5,seconds,Interpolated from MAP.,NAD83,4222.64,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02100893,Sample-Routine,WATER,Surface Water,5/6/2021,10:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10171000,NA,NA,"Stable, normal stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,US DH-81 with Teflon cap and nozzle,NA,NITRATE,DISSOLVED,21.9,21.9,Numeric,MG/L ASNO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,5/6/2021 16:00,NA,"JORDAN RIVER @ 1700 SOUTH @ SALT LAKE CITY, UT",Stream,NA,16020204,3438,sq mi,3183,sq mi,40.73355737,-111.9232703,NA,5,seconds,Interpolated from MAP.,NAD83,4222.64,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200783,Sample-Routine,WATER,Surface Water,3/30/2022,13:45:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-10141000,NA,NA,"Stable, normal stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,US DH-81,NA,NITRATE,DISSOLVED,24.1,24.1,Numeric,MG/L ASNO3,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,3/30/2022 19:45,NA,"WEBER RIVER NEAR PLAIN CITY, UT",Stream,NA,16020102,2081,sq mi,NA,NA,41.2782765,-112.0918866,NA,5,seconds,Interpolated from MAP.,NAD83,4200.22,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,49,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02100836,Sample-Routine,WATER,Surface Water,4/22/2021,13:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10168000,NA,NA,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81 with Teflon cap and nozzle,NA,NITRATE,DISSOLVED,0.408,0.408,Numeric,MG/L ASNO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,4/22/2021 19:00,NA,LITTLE COTTONWOOD CREEK @ JORDAN RIVER NR SLC,Stream,NA,16020204,46,sq mi,NA,NA,40.66430556,-111.898861,NA,1,seconds,Interpolated from Digital MAP.,NAD83,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200108,Sample-Routine,WATER,Surface Water,10/29/2021,14:00:00,MDT,NA,NA,NA,0.2,meters,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-411116112244401,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.354,0.354,Numeric,MG/L ASNO3,NA,NWIS,10/29/2021 20:00,NA,"GSL 2267, 1 MI NW OF FREMONT ISLAND","Lake, Reservoir, Impoundment",NA,16020310,NA,NA,NA,NA,41.1877149,-112.4130094,NA,1,seconds,Interpolated from MAP.,NAD83,4200,feet,10,feet,Altimeter.,NGVD29,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200880,Sample-Routine,WATER,Surface Water,4/21/2022,12:30:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10172200,NA,NA,"Stable, low stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Open-Mouth Bottle,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.01,0.01,Numeric,MG/L AS N,NA,NWIS,4/21/2022 18:30,NA,"RED BUTTE CREEK AT FORT DOUGLAS, NEAR SLC, UT",Stream,NA,16020204,7.25,sq mi,NA,NA,40.77994627,-111.806045,24000,1,seconds,Interpolated from MAP.,NAD83,5403.38,feet,0.18,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200958,Sample-Routine,WATER,Groundwater,4/27/2022,10:15:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS - Utah Water Science Center,USGS-370746113223301,NA,NA,Not applicable,Routine sample,4040,USGS parameter code 82398,Submersible pump,Submersible centrifugal pump,NA,NITRATE,DISSOLVED,0.876,0.876,Numeric,MG/L ASNO3,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,4/27/2022 16:15,NA,(C-42-14)13cda- 1   WD-6,Well,NA,15010008,NA,NA,NA,NA,37.13017705,-113.3777003,NA,0.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3003.6,feet,0.1,feet,Global Positioning System.,NGVD29,US,49,53,NA,NA,NA,NA,20010515,96,ft,103.41,ft,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200782,Sample-Routine,WATER,Surface Water,3/31/2022,11:10:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-410401112134801,NA,NA,"Stable, normal stage",Routine sample,20,USGS parameter code 82398,Equal discharge increment (edi),US DH-95 plastic bottle,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.044,0.044,Numeric,MG/L ASNO3,NA,NWIS,3/31/2022 17:10,NA,GSL FARMINGTON BAY OUTFLOW AT CAUSEWAY BRIDGE,"Lake, Reservoir, Impoundment",NA,16020310,NA,NA,NA,NA,41.0668864,-112.2307802,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,49,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200963,Sample-Routine,WATER,Groundwater,4/25/2022,17:30:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS - Utah Water Science Center,USGS-370646113231901,NA,NA,Not applicable,Routine sample,4040,USGS parameter code 82398,Submersible pump,Submersible centrifugal pump,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.04,0.04,Numeric,MG/L AS N,NA,NWIS,4/25/2022 23:30,NA,(C-42-14)23ddc- 1   WD-11,Well,NA,15010008,NA,NA,NA,NA,37.1131215,-113.391506,NA,0.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3016.6,feet,0.1,feet,Global Positioning System.,NGVD29,US,49,53,NA,NA,NA,NA,20010614,108.5,ft,112,ft,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02201211,Sample-Routine,WATER,Surface Water,5/26/2022,12:30:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10171000,NA,NA,"Stable, high stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81 with Teflon cap and nozzle,NA,NITROGEN,SUSPENDED,0.116,0.116,Numeric,MG/L,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,49570,NA,NA,NA,NA,NA,COMB7,USGS,"TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",7/20/2022,NA,Long Term Method Detection Level,0.03,0.03,Numeric,MG/L,NA,NWIS,5/26/2022 18:30,NA,"JORDAN RIVER @ 1700 SOUTH @ SALT LAKE CITY, UT",Stream,NA,16020204,3438,sq mi,3183,sq mi,40.73355737,-111.9232703,NA,5,seconds,Interpolated from MAP.,NAD83,4222.64,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02101052,Sample-Routine,WATER,Surface Water,5/27/2021,10:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10171000,NA,NA,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,NA,NITROGEN,SUSPENDED,0.108,0.108,Numeric,MG/L,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,49570,NA,NA,NA,NA,NA,COMB7,USGS,"TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",8/13/2021,sample was warm when received,Long Term Method Detection Level,0.03,0.03,Numeric,MG/L,NA,NWIS,5/27/2021 16:00,NA,"JORDAN RIVER @ 1700 SOUTH @ SALT LAKE CITY, UT",Stream,NA,16020204,3438,sq mi,3183,sq mi,40.73355737,-111.9232703,NA,5,seconds,Interpolated from MAP.,NAD83,4222.64,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02101386,Sample-Routine,WATER,Surface Water,7/28/2021,14:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10171000,NA,NA,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81 with Teflon cap and nozzle,NA,NITRATE,DISSOLVED,6.12,6.12,Numeric,MG/L AS N,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,7/28/2021 20:00,NA,"JORDAN RIVER @ 1700 SOUTH @ SALT LAKE CITY, UT",Stream,NA,16020204,3438,sq mi,3183,sq mi,40.73355737,-111.9232703,NA,5,seconds,Interpolated from MAP.,NAD83,4222.64,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200968,Quality Control Sample-Field Replicate,WATER,Surface Water,5/4/2022,11:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey,USGS-410401112134801,NA,NA,"Stable, normal stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,US DH-81,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.01,0.01,Numeric,MG/L AS N,NA,NWIS,5/4/2022 17:00,NA,GSL FARMINGTON BAY OUTFLOW AT CAUSEWAY BRIDGE,"Lake, Reservoir, Impoundment",NA,16020310,NA,NA,NA,NA,41.0668864,-112.2307802,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,49,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02100765,Sample-Routine,WATER,Surface Water,4/2/2021,11:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey,USGS-10010060,NA,NA,"Stable, normal stage",Routine sample,20,USGS parameter code 82398,Equal discharge increment (edi),US DH-81,Not Detected,NITRATE,DISSOLVED,NA,NA,ND or NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,Historical Lower Reporting Limit,0.01,0.01,Numeric,MG/L AS N,NA,NWIS,4/2/2021 17:00,NA,"Bear R Bay Outflow at Causeway Brg nr Warren, UT","Lake, Reservoir, Impoundment",NA,16020310,NA,NA,NA,NA,41.2341064,-112.3371697,NA,0.5,seconds,Interpolated from MAP.,NAD83,4210,feet,10,feet,Interpolated from topographic map.,NGVD29,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200122,Sample-Routine,WATER,Surface Water,11/4/2021,12:00:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey,USGS-10168000,NA,NA,Not determined,Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",Open-Mouth Bottle,NA,NITRATE,DISSOLVED,3.29,3.29,Numeric,MG/L ASNO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,11/4/2021 18:00,NA,LITTLE COTTONWOOD CREEK @ JORDAN RIVER NR SLC,Stream,NA,16020204,46,sq mi,NA,NA,40.66430556,-111.898861,NA,1,seconds,Interpolated from Digital MAP.,NAD83,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS-UT,USGS Utah Water Science Center,nwisut.01.02200961,Sample-Routine,WATER,Groundwater,4/26/2022,13:45:00,MDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS - Utah Water Science Center,USGS-370604113224601,NA,NA,Not applicable,Routine sample,4040,USGS parameter code 82398,Submersible pump,Submersible centrifugal pump,NA,NITRATE,DISSOLVED,3.48,3.48,Numeric,MG/L AS N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,4/26/2022 19:45,NA,(C-42-14)25cdb- 1,Well,NA,15010008,NA,NA,NA,NA,37.10187165,-113.3803947,NA,0.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3066.2,feet,0.1,feet,Global Positioning System.,NGVD29,US,49,53,NA,NA,NA,NA,20010521,118.7,ft,134,ft,NA,NA,NA,NA,NA,NA,NA,NA
